index,description
01.,Pelagial der Nordsee
01.01.,Photisches Pelagial der Nordsee
01.02.,Aphotisches Pelagial der Nordsee
02.,Benthal der Nordsee
02.01.,Eulitorales Benthal der Nordsee (Wattflächen)
02.01.01.,Eulitoraler Felsen- und Steingrund der Nordsee (Felswatt) - ausschließlich bei Helgoland
02.01.01.01.,Eulitoraler Felsen- und Steingrund der Nordsee mit Epibenthos
02.01.01.01.01.,"Eulitoraler Felsen- und Steingrund der Nordsee mit mehrjährigen (festsitzenden) Makroalgen, v.a Fucus"
02.01.01.01.02.,Eulitoraler Felsen- und Steingrund der Nordsee mit epibenthischen Muscheln (Bivalvia)
02.01.01.01.02.01.,Eulitoraler Felsen- und Steingrund der Nordsee mit Pazifischen Austern (Crassostrea gigas)
02.01.01.01.02.02.,Eulitoraler Felsen- und Steingrund der Nordsee mit Miesmuscheln (Mytilus edulis)
02.01.01.01.03.,"Eulitoraler Felsen- und Steingrund der Nordsee mit einjährigen (festsitzenden) Makroalgen, v.a Meersalat (Ulva)"
02.01.01.02.,"Eulitoraler Felsen- und Steingrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne epibenthische Makroflora oder -fauna"
02.01.02.,Eulitoraler Schillgrund der Nordsee - ausschließlich Wattenmeer und Ästuare
02.01.02.01.,Eulitoraler Schillgrund der Nordsee mit Epibenthos
02.01.02.01.01.,"Eulitoraler Schillgrund der Nordsee mit epibenthischen Krebsen (Crustacea), v.a Seepocken (Balanidae)"
02.01.02.01.02.,Eulitoraler Schillgrund der Nordsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia)
02.01.02.01.02.01.,Eulitoraler Schillgrund der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas)
02.01.02.01.02.02.,Eulitoraler Schillgrund der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus)
02.01.02.01.03.,"Eulitoraler Schillgrund der Nordsee mit einjährigen (festsitzenden) Makroalgen, v.a Meersalat (Ulva)"
02.01.02.02.,Eulitoraler Schillgrund der Nordsee mit Infauna
02.01.02.03.,"Eulitoraler Schillgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora oder -fauna"
02.01.03.,Eulitoraler Torfgrund der Nordsee - ausschließlich Wattenmeer und Ästuare
02.01.04.,Eulitoraler Sandgrund der Nordsee (Sandwatt) - ausschließlich Wattenmeer und Ästuare
02.01.04.01.,Eulitoraler Sandgrund der Nordsee mit Epibenthos
02.01.04.01.01.,Eulitoraler Sandgrund der Nordsee mit wurzelnden Pflanzen - nur gering exponierte Bereiche des Wattemeeres und der Ästuare
02.01.04.01.01.01.,Eulitoraler Sandgrund der Nordsee mit Queller (Salicornia stricta)
02.01.04.01.01.02.,Eulitoraler Sandgrund der Nordsee mit Schlickgras (Spartina anglica)
02.01.04.01.01.03.,Eulitoraler Sandgrund der Nordsee mit Seegras (Zostera-Seegraswiesen)
02.01.04.01.02.,Eulitoraler Sandgrund der Nordsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia)
02.01.04.01.02.01.,Eulitoraler Sandgrund der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas)
02.01.04.01.02.02.,Eulitoraler Sandgrund der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus edulis)
02.01.04.01.03.,Eulitoraler Sandgrund der Nordsee mit einjährigen (nicht festsitzenden) Makroalgen
02.01.04.03.,"Eulitoraler Sandgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora und -fauna"
02.01.05.,Eulitoraler Schlickgrund der Nordsee (Schlick- und Mischwatt) - ausschließlich Wattenmeer und Ästuare
